client,status_count,descriptions_all_count,descriptions_all_percent,descriptions_some_count,descriptions_some_percent,descriptions_none_count,descriptions_none_percent
Web,8272,1438,17.38394584,7,0.084622824,6827,82.53143133
dlvr.it,5806,1,0.017223562,0,0,5805,99.98277644
Mastodon for Android,1894,270,14.25554382,3,0.158394931,1621,85.58606125
unknown,1428,366,25.6302521,1,0.070028011,1061,74.29971989
AboveMaidstoneBot,1339,0,0,0,0,1339,100
Mastodon for iOS,1052,227,21.57794677,1,0.095057034,824,78.3269962
Buffer,795,126,15.8490566,1,0.125786164,668,84.02515723
Indie 102.3 Playlist Bot,571,571,100,0,0,0,0
Tusky,509,170,33.39882122,6,1.178781925,333,65.42239686
KUVO Playlist Bot,365,365,100,0,0,0,0
The Colorado Sound Playlist Bot,361,361,100,0,0,0,0
Ivory for iOS,356,144,40.4494382,0,0,212,59.5505618
toot - a Mastodon CLI client,339,4,1.179941003,0,0,335,98.820059
Blog2Social,288,22,7.638888889,0,0,266,92.36111111
AboveEDXWbot,284,0,0,0,0,284,100
traffic_incidents_atx,240,0,0,0,0,240,100
Fedica,222,45,20.27027027,1,0.45045045,176,79.27927928
ZohoSocial,210,1,0.476190476,0,0,209,99.52380952
CheapBotsTootSweet,196,2,1.020408163,0,0,194,98.97959184
Publer,164,2,1.219512195,0,0,162,98.7804878
pkmnFrames,163,0,0,0,0,163,100
IceCubesApp,162,87,53.7037037,0,0,75,46.2962963
Share on Mastodon,142,85,59.85915493,2,1.408450704,55,38.73239437
Mona for iPhone,136,41,30.14705882,0,0,95,69.85294118
Mastodon Share for WordPress,130,1,0.769230769,0,0,129,99.23076923
Metatext,129,44,34.10852713,0,0,85,65.89147287
Minimal-ActivityPub_v0.5.5_Python_3.10.6,119,0,0,0,0,119,100
Typefully,114,0,0,0,0,114,100
TheMoscowTimesByNB,114,114,100,0,0,0,0
connection,99,0,0,0,0,99,100
Megalodon,98,31,31.63265306,1,1.020408163,66,67.34693878
Ukraine News bot,95,0,0,0,0,95,100
Ivory for Mac,85,34,40,0,0,51,60
homey,84,0,0,0,0,84,100
Letras de Músicas,82,0,0,0,0,82,100
python bot,82,82,100,0,0,0,0
Java App Publishing Photos,80,0,0,0,0,80,100
PMAnythingBot,80,0,0,0,0,80,100
livelakemichigan,80,80,100,0,0,0,0
"DaLetra - Lyrics, Music, Videos and much more",80,0,0,0,0,80,100
